Transect,Stratum,Microsite,Site ID,Clay ,NumTowers,Clay_cm,,Gaylussacia mosieri,Ctenium aromaticum,Sarracenia alata,Rhynchospora ssp.,Andropogon mohrii,Balduina uniflora,Melanthiaceae,Helianthus heterophyllus,Ilex ssp.,Lycopodiella appressa,Platanthera ciliaris ,Coreopsis linifolia, Rhynchospora oliganthus OR galeana,Panicum ssp.,Rhexia alifanus,Eriocaulon decangulare,Polygala sp.,Trilisa paniculata,Aristida beyrichiana,Scleria ssp.,Morella inodora,Rhynchospora colorata,Pinus palustris,Drosera tracyi,Andropogon sp.,Smilax laurifolia,Lycopodiella alopecuroides OR prostrata
1,0-15,+,1.1,6.125,1,15.5575,1.1,0,0,2,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,15-30,-,1.2,6,10,15.24,1.2,0,0,0,4,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,30-45,-,1.3,8.25,4,20.955,1.3,0,0,0,6,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,45-60,+,1.4,6.5,10,16.51,1.4,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0-15,+,2.1,6.375,4,16.1925,2.1,0,0,2,4,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2,15-30,-,2.2,4.75,7,12.065,2.2,0,0,0,4,0,1,2,0,2,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,30-45,-,2.3,2.25,10,5.715,2.3,0,0,0,4,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,45-60,+,2.4,9.75,0,24.765,2.4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0-15,+,3.1,6.125,9,15.5575,3.1,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,15-30,-,3.2,8,1,20.32,3.2,0,0,0,4,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
3,30-45,-,3.3,3.625,0,9.2075,3.3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,45-60,+,3.4,6.5,7,16.51,3.4,0,0,3,2,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
4,0-15,+,4.1,4.125,9,10.4775,4.1,0,0,1,3,0,0,2,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0
4,15-30,-,4.2,6.25,0,15.875,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0
4,30-45,-,4.3,5,0,12.7,4.3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
4,45-60,+,4.4,5.5,6,13.97,4.4,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
5,0-15,+,5.1,9.75,3,24.765,5.1,0,0,3,0,0,0,2,0,0,0,2,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0
5,15-30,-,5.2,6.75,0,17.145,5.2,0,0,0,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0
5,30-45,-,5.3,4,0,10.16,5.3,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0
5,45-60,-,5.4,6,0,15.24,5.4,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0
5,60-75,-,5.5,2,0,5.08,5.5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0
5,75-90,+,5.6,2.5,8,6.35,5.6,0,0,2,3,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
6,0-15,-,6.1,3.875,3,9.8425,6.1,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
6,15-30,-,6.2,2.5,0,6.35,6.2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,30-45,+,6.3,6.25,8,15.875,6.3,0,0,2,4,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,0-15,+,7.1,6.125,4,15.5575,7.1,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
7,15-30,-,7.2,5.375,0,13.6525,7.2,0,4,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
7,30-45,+,7.3,9.75,3,24.765,7.3,0,0,1,3,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,45-60,+,7.4,9.75,10,24.765,7.4,0,0,2,3,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
8,0-15,+,8.1,7.625,0,19.3675,8.1,2,0,1,5,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
8,15-30,-,8.2,8.375,0,21.2725,8.2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0
8,30-45,-,8.3,7.875,0,20.0025,8.3,2,0,0,0,0,1,0,0,4,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0
8,45-60,+,8.4,7.75,12,19.685,8.4,0,0,1,2,0,0,2,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0
9,0-15,-,9.1,6.375,8,16.1925,9.1,0,0,0,3,0,0,3,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0
9,15-30,-,9.2,7.875,0,20.0025,9.2,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0
9,30-45,+,9.3,9.75,3,24.765,9.3,0,0,2,3,0,0,3,0,0,0,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
9,45-60,+,9.4,4.625,3,11.7475,9.4,0,0,2,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0
10,0-15,+,10.1,2.75,6,6.985,10.1,0,0,2,4,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,15-30,-,10.2,5.5,0,13.97,10.2,2,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
10,30-45,-,10.3,7.5,0,19.05,10.3,0,0,0,4,0,1,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0
10,45-60,+,10.4,8.375,0,21.2725,10.4,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
10,60-75,+,10.5,5.75,7,14.605,10.5,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,0-15,+,11.1,5.25,7,13.335,11.1,0,0,1,3,0,0,2,0,0,0,2,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
11,15-30,-,11.2,5.375,6,13.6525,11.2,0,0,0,4,0,0,2,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0
11,30-45,+,11.3,9.75,2,24.765,11.3,0,0,3,3,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,45-60,+,11.4,7.5,3,19.05,11.4,0,0,3,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,60-75,-,11.5,6.375,5,16.1925,11.5,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,1
11,75-90,-,11.6,3.875,9,9.8425,11.6,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
11,90-105,+,11.7,9.75,5,24.765,11.7,0,0,2,4,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0-15,+,12.1,4.875,1,12.3825,12.1,0,0,1,1,0,0,3,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0
12,15-30,-,12.2,7.75,0,19.685,12.2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,30-45,-,12.3,4.375,0,11.1125,12.3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
12,45-60,+,12.4,6.75,1,17.145,12.4,0,0,2,0,0,0,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
12,60-75,-,12.5,8,0,20.32,12.5,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0
12,75-90,+,12.6,9.75,2,24.765,12.6,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0
13,0-15,-,13.1,6.375,0,16.1925,13.1,0,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0
13,15-30,+,13.2,7.75,7,19.685,13.2,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
13,30-45,+,13.3,6.5,5,16.51,13.3,0,0,2,4,3,1,4,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
13,45-60,-,13.4,6.875,0,17.4625,13.4,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
13,60-75,-,13.5,6.625,3,16.8275,13.5,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,5,0,0,1,0,3,0,0
13,75-90,+,13.6,0,7,0,13.6,0,0,2,4,0,0,3,0,0,0,2,0,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0
