,Gaylussacia mosieri,Ctenium aromaticum,Sarracenia alata,Rhynchospora ssp.,Andropogon mohrii,Balduina uniflora,Melanthiaceae,Helianthus heterophyllus,Ilex ssp.,Lycopodiella appressa,Platanthera ciliaris ,Coreopsis linifolia, Rhynchospora oliganthus OR galeana,Panicum ssp.,Rhexia alifanus,Eriocaulon decangulare,Polygala sp.,Trilisa paniculata,Aristida beyrichiana,Scleria ssp.,Morella inodora,Rhynchospora colorata,Pinus palustris,Drosera tracyi,Andropogon sp.,Smilax laurifolia,Lycopodiella alopecuroides OR prostrata
1.1,0,0,2,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2,0,0,0,4,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3,0,0,0,6,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.1,0,0,2,4,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2.2,0,0,0,4,0,1,2,0,2,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3,0,0,0,4,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.1,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3.2,0,0,0,4,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
3.3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.4,0,0,3,2,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
4.1,0,0,1,3,0,0,2,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0
4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0
4.3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
4.4,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
5.1,0,0,3,0,0,0,2,0,0,0,2,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0
5.2,0,0,0,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0
5.3,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0
5.4,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0
5.5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0
5.6,0,0,2,3,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
6.1,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
6.2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.3,0,0,2,4,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7.1,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
7.2,0,4,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
7.3,0,0,1,3,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7.4,0,0,2,3,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
8.1,2,0,1,5,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
8.2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0
8.3,2,0,0,0,0,1,0,0,4,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0
8.4,0,0,1,2,0,0,2,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0
9.1,0,0,0,3,0,0,3,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0
9.2,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0
9.3,0,0,2,3,0,0,3,0,0,0,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
9.4,0,0,2,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0
10.1,0,0,2,4,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.2,2,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
10.3,0,0,0,4,0,1,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0
10.4,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
10.5,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11.1,0,0,1,3,0,0,2,0,0,0,2,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
11.2,0,0,0,4,0,0,2,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0
11.3,0,0,3,3,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.4,0,0,3,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.5,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,1
11.6,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
11.7,0,0,2,4,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.1,0,0,1,1,0,0,3,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0
12.2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
12.4,0,0,2,0,0,0,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
12.5,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0
12.6,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0
13.1,0,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0
13.2,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
13.3,0,0,2,4,3,1,4,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
13.4,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
13.5,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,5,0,0,1,0,3,0,0
13.6,0,0,2,4,0,0,3,0,0,0,2,0,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0
